ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC
249.3626638,42,0.616763212,0.219692407,136.8614543,49.77820905,0.802899079,25.73174132,1,-0.35,11.91,0.18,B,202610930
83169,20,2.557007855,0.16258574,932465.0018,7750,0.576560073,34663.09168,0.58,0.09,1.95,0.002,QPS,202876718
63.48247792,4,1.004462697,0.827652076,51.00691268,10.44703231,0.778123781,3.657261801,0.85,-0.01,13.16,0.06,N,203082998
191.2356768,10,1.738385905,0.115937444,65.29611541,36.71003711,0.769270184,11.57941053,0.75,0.53,1.35,0.33,QPD,203083616
3793.90131,37,1.332478453,0.002132441,4358.267378,2119.02192,0.884780647,2193.052218,0.03,0.19,4.17,0.13,P,203318214
223.6955661,7,0.586972317,0.078514442,247.3144774,72.6345709,0.827702831,14.46262045,0.06,-0.21,0.78,0.06,P,203337814
689.3799142,16,2.852143102,0.036981404,397.7201622,78.13529697,0.669570737,109.6273001,0.77,0.62,2.23,0.09,APD,203343161
58.10719042,152,0.792700239,0.150212746,36.29653512,10.79932311,0.801829945,4.443245996,0.83,-0.14,61.46,0.08,QPS,203377650
1825.319218,36,2.729396944,0.008592966,1518.541794,10.73935119,0.232657041,50.26901348,1,-1.14,78.66,0.1,B,203382255
94.49088352,10,1.185717424,0.139951416,199.6227435,29.25723496,0.854089644,8.701223128,0.16,0.13,1.08,0.03,MP,203385048
116887.8722,39,4.888613298,0.004463838,92066.13098,16895.26463,0.731884079,24977.39584,0.91,0.88,7.36,0.24,APD,203410665
52648.13993,42,1.768952536,0.014006205,34991.88747,7254.74234,0.718659883,8640.4467,0.83,0.37,18.7,0.45,S,203417549
219.2236223,13,3.594275133,0.150175822,82.67412897,21.65363637,0.685822051,12.26182249,0.82,0.64,25.36,0.17,APD,203429083
1088.680125,446,1.011019265,0.004823983,1973.400523,360.4344353,0.829046587,244.339841,0.32,0.29,6.76,0.05,QPS,203440253
18154.39998,34,1.348910653,0.004043642,14902.8297,5653.779591,0.81306887,7000.490942,0.37,0.2,3.79,0.79,QPS,203465909
77.88685104,168,2.249217511,0.146307476,44.3784984,11.36595058,0.772926027,4.323193481,0.72,0.44,1.56,0.09,QPD,203542463
720.7452723,13,2.78584177,0.116798293,447.6521582,53.38301899,0.594382388,40.31112439,0.5,0.56,1.84,0.1,QPD,203559274
1047.763707,584,0.341758572,0.052666672,1000.907699,186.8292435,0.70314497,78.93392263,1,-0.36,95.25,0.04,U,203604427
7781.746582,28,0.837534216,0.029239057,4886.757773,1660.886338,0.798969004,1687.722435,0.78,-0.13,3.29,0.49,QPS,203637940
10286.5,14,0.86860005,0.310876845,148756.2161,2029.25,0.809482029,7580.88876,0.48,-0.39,2.63,0.003,QPS,203649927
4397.097666,115,10.54002368,0.00095175,5069.245669,424.9009032,0.5648939,369.5007104,1,1.04,47.57,0.08,APD,203664569
415.9694102,16,1.197724782,0.06679606,966.2512648,98.00098356,0.792366564,76.5445531,0.55,0.11,1.81,0.02,MP,203690414
1129.934471,39,1.024787482,0.009659078,885.4817043,407.5233546,0.831827072,422.2039098,0.24,0.01,4.9,0.09,QPS,203703016
26605.63983,31,0.902964482,0.003387814,69520.94338,8135.361854,0.823688485,11115.53774,0.38,-0.11,3.73,0.03,MP,203710077
2218.078636,23,2.102191408,0.021381532,1096.598254,406.6924339,0.761283817,556.715886,0.53,0.52,3.29,0.13,QPD,203712588
7105.568548,40,0.505431242,0.03307171,5074.931961,1090.851658,0.661448281,1146.505714,0.83,-0.42,31.08,0.46,B,203716389
5956.574621,21,0.76076657,0.053315646,2905.424863,1066.381616,0.788835466,945.2792561,0.87,-0.28,10.95,0.26,B,203725791
9829.498725,16,2.998585168,0.019398087,4337.757382,1603.66064,0.558570175,1651.585557,0.91,0.72,11.16,0.18,APD,203749770
8107.266214,18,1.694961724,0.023540784,4395.035829,1353.482152,0.723287986,1117.499019,0.9,0.37,4.94,0.29,APD,203750883
433.6799731,15,2.005304735,0.036699685,177.9721977,74.08801455,0.772152548,38.72946471,0.42,0.47,1.81,0.08,QPD,203770366
2340.605852,99,1.586813653,0.006138702,2065.325449,572.045649,0.773795089,375.7942414,0.34,0.32,12.5,0.19,QPS,203770559
394.7027373,23,1.138865201,0.025013101,347.0880628,152.187218,0.84805034,198.9117803,0.07,0.1,2.29,0.07,P,203770673
14016,8,0.695097446,0.654608607,534823.6037,2865,0.800325311,19019.21278,0.29,-0.39,1.95,0.002,QPS,203774126
1022.226152,74,1.90323989,0.002339233,856.8837721,378.8952363,0.833848233,224.7887831,0.17,0.49,8.93,0.18,QPD,203785905
876.7332458,106,0.483181716,0.04457751,627.8728669,188.17671,0.780790348,132.3866151,1,-0.59,35.65,0.11,B,203786695
148.652665,413,1.929060204,0.051275358,157.932783,34.72806426,0.760611613,13.46001971,0.43,0.06,1.28,0.09,QPS,203789325
509.4438306,19,0.532062303,0.18053079,214.0523146,26.28577808,0.657956956,20.4223074,0.97,-0.41,29.89,0.14,B,203789507
9016.445285,23,1.911762616,0.010683158,6470.758209,1639.716001,0.688918755,2344.308879,0.84,0.37,4,0.72,APD,203791768
7321.422887,74,0.615558643,0.010365106,5913.794745,1527.606447,0.800402703,1214.838459,0.55,-0.25,4.46,0.47,B,203794605
636.1368948,128,0.891885579,0.007723357,600.3141779,223.3019572,0.809219531,105.9022511,0.3,-0.06,14.71,0.1,QPS,203797163
295.4879119,717,0.540560312,0.032880278,157.2425724,75.59102697,0.829456833,15.44858607,0.55,0.12,1.26,0.07,MP,203801323
7963.778574,102,4.133043449,0.00239532,5702.250306,1077.559317,0.724605473,1028.260796,0.97,1.1,7.31,0.2,APD,203806628
180800.9611,43,1.031805009,0.007607462,89407.33447,34121.51982,0.469167183,31700.23902,0.56,0.08,4.24,0.56,QPD,203810851
4808.405687,69,0.727053697,0.014342684,3652.298524,894.8272383,0.783634481,682.6217793,0.84,-0.29,20.33,0.31,B,203822485
238.5602965,740,1.481043031,0.033199242,120.4229984,69.48112805,0.864331757,8.732138117,0.56,-0.12,0.68,0.17,MP,203822946
2642.590786,99,0.788494096,0.001727792,2196.014755,745.6995119,0.757878194,398.3560588,0.59,0.32,11.9,0.28,QPD,203824153
399.7250291,638,1.573601006,0.008181604,369.031657,165.7560804,0.860049405,90.2604467,0.07,0.03,3.97,0.09,P,203826403
21175.22802,56,0.734794311,0.002831411,17702.61891,4267.329251,0.730741471,4177.631159,0.83,-0.18,14.55,0.38,S,203833873
238.3730879,28,0.898573682,0.036729514,180.6291514,51.30254689,0.815508627,71.49882552,0.3,-0.06,2.63,0.17,QPS,203837701
40.18670414,46,0.752610099,0.26313314,29.44395543,4.65434678,0.788757485,3.904040021,0.87,-0.13,50.36,0.22,S,203842632
132.4104852,10,2.778713804,0.074959084,68.85376322,21.35067124,0.758633196,6.888048181,0.53,0.69,1.35,0.14,QPD,203843009
27016.55207,52,1.048478271,0.001833052,22478.32461,8161.22265,0.780733964,7317.415421,0.31,0.1,8.93,0.35,QPD,203843911
851.1133951,72,0.791739592,0.009259776,1353.836493,345.2149037,0.789666855,236.0635826,0.17,-0.13,8.06,0.05,QPS,203848625
203.9751711,812,1.940392601,0.00959046,247.8456757,89.15892282,0.913073339,13.43210799,1,0.03,78.76,0.07,L,203848661
19.93688896,211,1.290053007,0.422219792,12.95323566,3.912986175,0.8006528,1.986298681,0.84,0.14,39.64,0.23,QPS,203849739
439.0528546,34,1.061957692,0.017516134,275.2589862,80.80231992,0.76942381,88.53288124,0.66,0.03,2.87,0.22,QPD,203850058
19792.89666,32,0.744410356,0.001952783,18142.0685,6124.08636,0.672002471,8596.81026,0.38,-0.14,3.91,0.18,MP,203850605
2138.270427,47,1.069359552,0.018535647,2758.572916,428.7446074,0.642013175,506.1241181,0.42,0.07,3.52,0.04,MP,203851860
138.2903569,124,1.139135992,0.055568621,116.9915794,23.52418678,0.741733896,22.66218651,1,-0.3,79.48,0.12,B,203852282
364.8725145,87,0.182724321,0.100569547,259.7327791,31.45285513,0.624468589,23.14052959,0.92,-1,55.84,0.1,B,203856109
719.3528658,40,0.889318514,0.014412462,482.4572089,203.0153583,0.795688042,152.924894,0.7,0.29,4.03,0.08,QPD,203856244
1276.314562,53,1.531637864,0.002104464,945.5102187,455.3416926,0.85635295,373.3408604,0.08,0.4,6.25,0.2,QPD,203860592
69.38406986,16,1.890923047,0.486922152,19.82259319,6.50920328,0.733026567,5.708554806,0.67,0.38,4.31,0.16,QPD,203862309
24.3246991,42,0.703434243,0.662015008,17.19540402,2.61243705,0.763138445,1.946170216,0.75,-0.14,4.1,0.14,QPS,203863066
95.30528617,26,0.800616761,0.048312164,71.33424629,14.30674251,0.75510528,13.80528807,0.93,-0.25,13.22,0.56,B,203864032
310.0780259,666,1.221862865,0.012003458,247.8681708,132.9805734,0.849738349,65.5166446,0.13,-0.12,3.16,0.09,P,203867167
211.8958605,85,0.584380309,0.023498637,172.8545364,38.21319354,0.786414987,32.1517974,0.57,-0.24,12.5,0.18,QPS,203870022
777.1068837,45,0.77599021,0.006992248,542.8773164,209.4663432,0.830787319,153.8029429,0.96,-0.19,10.24,0.24,S,203870058
23269.5,26,0.721403679,0.175019281,304580.8955,5085.75,0.80106316,13691.39424,1,-0.03,7.4,0.004,N,203876897
98.72176905,21,0.695377393,0.074115927,68.76919475,26.19896067,0.809262748,5.671102176,0.08,-0.09,1.62,0.13,P,203877533
3060.713832,744,0.906683738,0.08215836,24822.79263,888.9703807,0.843368723,951.3314573,0.66,0.13,0.28,0.02,MP,203881373
73.56212695,25,1.130905559,0.137118944,48.82238388,17.06966336,0.798558909,20.30511785,0.6,0.05,2.4,0.52,QPS,203881640
201.1509794,52,4.802709126,0.031899784,141.1873034,28.52272716,0.707738459,37.52853586,0.38,0.96,6.76,0.21,QPD,203887087
1838.34029,53,0.813592785,0.06124587,1911.709738,326.9701956,0.765131348,263.5005827,0.94,-0.13,8.19,0.05,S,203889938
15.01209895,76,0.486985715,0.994980772,9.123316173,1.952855205,0.752604348,0.914814399,1,-0.14,77.8,0.21,U,203891751
6045.659488,663,2.276266243,0.00033976,5647.607298,1974.012045,0.790587957,703.391484,1,0.6,24.38,0.31,APD,203892903
96.07841836,31,12.22547843,0.044778175,96.63648419,5.80782299,0.328832565,5.710269604,1,0.26,8.34,0.14,APD,203893434
154.0507731,47,0.385766204,0.057838732,191.5468494,28.7291122,0.185022244,37.39061984,0.56,-0.43,3.97,0.19,QPS,203893891
19.19793205,215,0.361234467,0.482436395,13.09232076,2.54157239,0.765140006,0.839431748,0.71,-0.16,1.36,0.12,QPS,203895738
11479.49679,23,1.122029631,0.010045504,7575.705228,2231.053438,0.78972549,2796.053962,0.74,0.08,2.45,0.11,QPS,203895983
145.1685428,834,1.120457064,0.021645452,158.0503539,60.49161677,0.846343287,9.340834409,1,0.19,21.68,0.08,L,203896277
16999.63954,64,0.388965461,0.021959104,12404.80415,3080.622954,0.708985341,2849.606758,0.61,-0.83,5.95,0.48,B,203899786
20.9441413,110,1.517694274,0.783940152,14.54480532,3.17608297,0.757032021,1.309561552,0.95,-0.04,23.54,0.08,N,203904213
422.2854224,132,0.419995259,0.009572659,327.4883809,85.47947295,0.814804927,72.60984918,1,-0.66,23.82,2.11,B,203905576
28956.63153,123,0.734867197,0.016819733,26138.57791,6824.284877,0.75028539,4184.431705,1,-0.31,24.07,0.18,B,203905625
530.3738403,16,0.686229563,0.01370951,210.8219792,156.5489818,0.827644983,114.8331071,0.36,-0.29,1.89,1.13,QPS,203905980
16.33183885,19,1.068094736,0.762367702,5.790502781,3.06992428,0.78077633,0.804072124,0.77,0,1.41,0.16,QPS,203912136
589.3289936,61,0.516828495,0.009270007,403.3912308,119.2781413,0.799700339,104.5842078,0.82,-0.11,28.05,0.44,S,203912674
16195.60785,183,0.968715269,0.015796945,14066.72791,4450.980319,0.789693035,2211.583581,1,-0.37,13.53,0.26,S,203913804
85.43920371,185,1.040557412,0.323235338,51.71086255,11.84352737,0.754396815,8.58530558,1,0.04,37.86,0.08,U,203914960
440.8882422,22,0.823028538,0.019514149,228.2199685,79.35695484,0.778627574,115.7597318,0.42,-0.06,2.87,0.36,QPS,203915424
759.7758192,760,2.125334656,0.01250247,2240.003244,301.7851117,0.839975016,106.8717758,1,0.1,6.93,0.03,L,203916376
128.2310634,20,1.133890307,0.025874327,88.34181338,31.20728648,0.804823184,34.31623596,0.71,0.09,2.58,0.38,QPS,203917608
119.7865335,248,3.828586428,0.080290268,93.21377894,19.30288473,0.724537666,12.83275928,0.94,0.86,64.67,0.2,APD,203919315
13.37055989,193,0.692155216,0.963222478,7.620790717,2.31428446,0.795650907,0.633599007,1,-0.04,12.77,0.69,N,203920354
88.95910131,812,0.800626913,0.134173823,60.71951159,37.11202267,0.919591347,5.143007142,1,0.02,40.29,0.09,N,203923185
9741.958523,32,1.375659233,0.00308815,9912.755705,3015.819059,0.855943569,3959.175956,0.18,0.27,3.47,0.07,P,203924502
346.5639362,485,1.213875823,0.003241318,335.6520956,85.32389828,0.773335821,14.33793758,1,0.09,37.51,0.36,L,203925443
27.9791963,66,1.535084182,0.250381906,18.20802231,4.55025057,0.794506471,3.280048106,0.88,-0.12,9.3,0.46,S,203926424
19278.68467,280,2.439486323,0.007830076,15198.06145,4214.065746,0.74184717,1222.763335,0.5,0.58,0.69,0.17,APD,203927902
5027.936442,36,0.397869416,0.003552759,4539.444774,1576.397146,0.762081293,1752.937493,0.54,-0.66,4.39,2.41,B,203928175
167.1637019,40,0.763310097,0.024374543,140.0797217,49.87708876,0.819609157,63.65876054,0.2,-0.07,3.57,0.12,QPS,203929332
89425.59388,40,0.947243542,0.004178826,66731.67646,11517.95727,0.605233147,13443.16419,0.88,-0.11,21.02,0.11,S,203930599
1770.851247,8,1.128479464,0.757589241,28791.47143,238.7712621,0.746825323,1208.417866,0.97,0.1,41.25,0.002,N,203931628
754.8511529,818,1.19097368,0.004927894,823.1296966,352.8769758,0.898629352,132.5416012,0.49,0.35,2.38,0.08,QPD,203933268
2279.83139,54,0.795740907,0.003670564,3773.043095,640.7214158,0.811526597,644.8640571,0.74,-0.15,5.81,0.03,QPS,203934728
26901.70822,49,0.613875319,0.024034339,21422.23307,5637.970739,0.642186087,5375.686631,1,-0.31,19.78,0.13,B,203935537
1859.751093,55,2.993653215,0.001950672,1504.065844,468.3086865,0.751819814,454.5725832,0.66,0.79,8.93,0.55,QPD,203936815
6162.968041,24,4.042861612,0.009834515,4811.291046,816.5042199,0.655249723,1386.448754,0.85,0.81,7.8,0.07,APD,203937317
161.5636655,16,0.75770504,0.265190257,140.6582577,37.63216932,0.822236568,10.94676573,0.31,-0.06,1.61,0.07,QPS,203938167
17.15599131,43,0.7517887,0.571637093,12.49450823,3.008191045,0.793981184,2.703511928,0.8,-0.05,2.55,0.11,QPS,203938591
1691.020124,735,1.303916603,0.008773225,5362.948433,765.1844095,0.846615379,403.083859,0.59,-0.06,2.05,0.02,MP,203941868
52.93180277,588,0.588742674,0.338691645,107.988996,13.21061992,0.809671488,4.970926052,1,-0.09,69.22,0.04,N,203943710
194.9407853,177,1.371199084,0.21140715,158.9639503,10.66585188,0.718859482,12.58012615,1,-0.22,31.85,0.14,N,203945512
13.88022925,4,0.960731023,1.294281336,6.219400378,1.9413975,0.78012472,1.387402636,0.84,0,28.69,0.16,S,203946909
95.31804435,401,2.25928797,0.078671756,98.79095662,26.47731163,0.839423549,7.344606237,1,-0.18,45.89,0.06,L,203947305
2804.763542,80,5.000147874,0.004535411,2665.699751,337.8682481,0.683586621,395.9876427,0.94,0.8,8.09,0.13,APD,203950167
471.8661185,337,0.260459203,0.004882891,1065.324868,104.1206863,0.740148465,76.98217476,1,-0.83,34.45,0.17,B,203953466
9019.500234,70,0.035761725,0.002709223,8520.931245,243.6875866,0.720538661,669.8482286,0.61,-1.35,20.83,2.17,B,203954898
500.3547384,724,1.580747209,0.004823811,642.438901,164.3080106,0.814118846,50.78513738,1,0.19,34.78,0.07,L,203955457
78.42154226,15,1.180562803,0.407727669,38.01588844,14.63627401,0.797725182,3.415991398,0.53,0.24,0.68,0.09,MP,203956650
251.827494,35,2.13858295,0.018638274,188.7861477,42.36869451,0.667453079,48.16885146,0.88,0.51,15.94,0.41,APD,203962599
288.6926708,37,2.772016128,0.030807183,181.6267092,51.652995,0.74941465,57.84661634,0.74,0.68,4.9,0.44,QPD,203969672
1211.771731,39,1.063394578,0.010253904,2124.046092,303.3219339,0.813153518,404.5409147,0.45,0.07,3.38,0.04,QPS,203969721
22.66770362,13,1.115964465,0.250817754,13.28282174,6.49995078,0.807028106,5.112634234,0.84,0.14,3.68,0.31,S,203971352
241.0279941,59,1.146252169,0.033772504,535.908347,88.31871979,0.838786795,77.70301764,0.23,0.12,6.41,0.04,QPS,203972079
1305.011364,8,0.829107705,0.028161859,644.290609,570.6703871,0.85211885,55.51970374,0.09,-0.07,0.82,0.11,P,203981774
190.0320171,755,2.220291994,0.015899922,187.9676962,76.14229179,0.85804033,10.71893877,1,0.07,78.76,0.08,L,203982074
452.3430946,656,1.81596326,0.01337005,848.6762657,154.1840596,0.851042227,98.2763293,0.57,0.09,6.41,0.04,QPS,203987773
3219.394502,40,2.440475409,0.003608653,2335.878153,771.0105428,0.713818364,844.4593837,0.53,0.67,5.1,0.41,QPD,203995761
105.1737746,19,0.463374753,0.203713804,67.48784504,15.46913936,0.772883975,8.910142429,0.69,-0.31,1.41,0.06,QPS,204078097
269.9075771,11,0.698569143,0.360769425,171.0100325,42.23391546,0.061269239,20.97931148,0.6,-0.21,1.66,0.05,QPS,204094503
95.17678167,14,1.480205939,0.168333124,61.92227057,9.49704517,0.695135164,5.677684363,0.88,0.55,3.23,0.13,APD,204107757
54.2088121,10,1.117078088,0.668078932,24.65779263,7.94150473,0.774788202,4.091628421,0.61,0.06,1.21,0.11,QPS,204108293
20804.14144,17,0.641137118,0.035155532,8479.433431,3957.281553,0.785708044,3647.631801,0.85,-0.35,10.67,0.98,B,204130613
2573.094724,22,9.243965792,0.005491537,1699.177237,210.9213671,0.649555664,696.3191702,0.58,1.24,2.63,0.21,QPD,204137184
4110.097815,40,1.462249748,0.005434215,2796.006938,862.7537612,0.671828896,823.3196742,0.58,0.3,6.94,0.42,QPD,204142243
36754.89208,19,1.209484044,0.006600159,69143.15426,13029.06722,0.840696205,6050.59772,0.42,0.11,1.72,0.05,QPS,204147776
3389.513629,25,0.643280156,0.004137261,2994.931494,997.8728167,0.80360754,1359.086872,0.46,-0.2,2.81,0.13,QPS,204160652
2013.597926,306,0.307788311,0.037799142,1271.097747,354.6783979,0.750054655,219.9748781,1,-0.55,28.18,0.12,B,204161056
62109.26689,51,2.310690418,0.002759087,52332.93731,17986.60514,0.776338777,15513.80532,0.91,0.63,7.93,0.54,APD,204176565
10630.6539,473,3.014425263,0.041774753,8023.366279,2003.205474,0.763678669,979.2875111,0.72,-0.19,2.21,0.4,QPS,204181799
1924.186093,57,0.94844226,0.001968132,1879.737518,1158.755387,0.844906788,765.3956729,0.04,-0.04,6.76,0.14,P,204182919
